Date,Number of New Positive Cases in Last 24 Hrs,Total Number of Positive Cases to Date,Number of New Tests in Last 24 Hrs,Total Number of Tests to Date,Total Number of Active Cases Undergoing Treatment to Date,Number of New Recovered Cases in Last 24 Hrs,Total Number of Recovered Cases to Date,Number of New Deaths in Last 24 Hrs,Total Number of Deaths to Date,Total Number of Acute Cases under Hospital Treatment,Number of New Acute Hospital Admissions in Last 24 Hrs,Total Number of Cases under ICU Treatment,Number of New ICU Admissions in Last 24 Hrs,Total Number of Vaccine Doses Administered in Last 24 Hrs,Total Number of Vaccine Doses Administered Since Start of Vaccination Campaign
5/22/2020,1830,40481,5160,180642,32569,605,7893,2,19,1719,294,175,13,,
5/23/2020,1732,42213,4152,184794,33679,620,8513,2,21,1694,272,177,16,,
5/24/2020,1501,43714,3349,188143,34521,657,9170,2,23,1805,256,188,24,,
5/25/2020,1751,45465,4341,192484,35076,1193,10363,3,26,1895,295,202,22,,
5/26/2020,1742,47207,3927,196411,35335,1481,11844,2,28,1859,257,205,19,,
5/27/2020,1740,48947,4769,201180,35634,1439,13283,2,30,1509,215,203,12,,
5/28/2020,1967,50914,5853,207033,35482,2116,15399,3,33,1608,261,214,23,,
5/29/2020,1993,52907,5864,212897,32267,5205,20604,3,36,1612,246,216,20,,
5/30/2020,2355,55262,5091,217988,29387,5235,25839,0,36,1575,252,217,18,,
5/31/2020,1648,56910,4081,222069,26582,4451,30290,2,38,1502,242,232,27,,
6/1/2020,1523,58433,3850,225919,24956,3147,33437,2,40,1493,202,240,22,,
6/2/2020,1826,60259,5179,231098,24180,2599,36036,3,43,1504,220,239,20,,
6/3/2020,1901,62160,5339,236437,24573,1506,37542,2,45,1556,245,237,15,,
6/4/2020,1581,63741,4649,241086,24228,1926,39468,0,45,1646,210,239,14,,
6/5/2020,1754,65495,5276,246362,24511,1467,40935,4,49,1717,238,238,18,,
6/6/2020,1700,67195,5029,251391,24617,1592,42527,2,51,1636,193,238,15,,
6/7/2020,1595,68790,4142,255533,24398,1811,44338,3,54,1581,135,245,22,,
6/8/2020,1368,70158,4113,259646,24166,1597,45935,3,57,1603,179,241,19,,
6/9/2020,1721,71879,5389,265035,24248,1634,47569,5,62,1470,153,236,16,,
6/10/2020,1716,73595,4929,269964,24116,1844,49413,4,66,1420,161,226,15,,
6/11/2020,1476,75071,4829,274793,23671,1918,51331,3,69,1380,163,230,17,,
6/12/2020,1517,76588,5872,280655,23222,1965,53296,1,70,1281,156,229,14,,
6/13/2020,1828,78416,6165,286830,23094,1956,55252,0,70,1243,138,232,13,,
6/14/2020,1186,79602,3884,290714,22631,1646,56898,3,73,1229,143,231,13,,
6/15/2020,1274,80876,4624,295338,22119,1783,58681,3,76,1173,128,238,18,,
6/16/2020,1201,82077,5161,300499,21536,1780,60461,4,80,1147,143,244,19,,
6/17/2020,1097,83174,4302,304801,20920,1711,62172,2,82,1118,122,240,9,,
